brand,mean_sale_price,cluster
missoni for target,39.55555555555556,3
mitilly,12.0,1
miusol,20.0,1
mlle gabrielle,15.0,1
mm couture,12.0,1
mm lafleur,77.07692307692308,4
mod,15.0,1
moda,6.0,5
moda international,15.0,1
modcloth,32.57142857142857,3
modern citizen,40.0,3
modern owl boutique,49.0,4
monif c.,25.0,3
monique lhuillier,60.0,4
monoreno,11.0,5
monoretro,30.0,3
monteau,10.6,5
morgan & co.,19.0,1
mori lee,18.0,1
moschino,120.0,2
mossimo,25.0,3
mossimo supply co.,11.23076923076923,5
motel rocks,46.25,4
mother,49.0,4
mother bee maternity,39.0,3
motherhood,25.0,3
motherhood maternity,18.0,1
moulinette soeurs,25.0,3
msk,22.0,1
mud pie,22.5,1
muddhoney,19.0,1
mudhdoney,18.0,1
muisol,12.0,1
multiples,9.0,5
munro,35.0,3
mura boutique,20.0,1
muse,15.0,1
mustard seed,35.0,3
my bump,8.0,5
my fashion,29.333333333333332,3
my michelle,10.666666666666666,5
myespen,12.0,1
myifu,20.0,1
myne,30.0,3
myrtlewood of california,25.0,3
mystree,26.0,3
n:philanthropy,35.0,3
naked wardrobe,16.0,1
nally & millie,45.0,4
nanette lepore,43.0,4
nasty gal,21.25,1
nasty gal x courtney love,85.0,4
nastygal,20.0,1
natori,26.0,3
natural impressions,10.0,5
naughty monkey,50.0,4
nbd,55.0,4
needle & thread,53.0,4
neiman marcus,55.0,4
new directions,18.0,1
new north,17.0,1
new york & company,13.545454545454545,1
nextmia,17.5,1
nick & mo,17.75,1
nicki minaj,10.0,5
nicole by nicole miller,40.0,3
nicole miller,40.416666666666664,3
night moves prom collection,75.0,4
night way collections,35.0,3
nightcap,20.0,1
nightmare before christmas,25.0,3
nike,29.666666666666668,3
nikibiki,14.0,1
nina austin,100.0,2
nina piccalino,10.0,5
nine & co.,20.0,1
nine west,20.416666666666668,1
ninety,14.0,1
niteline,8.0,5
no boundaries,7.5,5
no brand,34.8,3
no comment,10.0,5
nobo,10.0,5
noctex,27.0,3
nolan miller,6.0,5
nom de plume,10.0,5
noname,13.0,1
nora gardner,45.0,4
nordstrom,42.75,3
norm thompson,14.0,1
norma kamali,17.0,1
notperfectlinen,75.0,4
novella royale,40.0,3
nsr,29.0,3
nursing mamas,11.0,5
ny collection,8.0,5
o'neill,31.166666666666668,3
oak + fort,45.0,4
oasis,10.0,5
obey,22.0,1
october love,28.0,3
oddi,7.0,5
oddy,13.0,1
odille,10.0,5
oh polly,32.833333333333336,3
old navy,12.753086419753087,1
oliphant,58.333333333333336,4
olivaceous,28.75,3
olivia matthews,16.0,1
olivia rae,34.0,3
one blessed nana,15.0,1
one clothing,13.666666666666666,1
one story,18.0,1
one world,19.0,1
onlo,20.0,1
only child,70.0,4
onyx nite,24.5,3
ooh la lou,62.0,4
ooh la luxe,20.0,1
ootd fash,20.0,1
ootdfash,3.0,5
orange creek,13.0,1
order plus,10.0,5
orvis,30.0,3
oscar de la renta,131.66666666666666,2
oscar st,13.0,1
osei duro,16.0,1
outdoor voices,56.0,4
pact,22.0,1
pakistani maria b,80.0,4
pam & gela,25.0,3
papaya,10.75,5
paper crane,26.0,3
paper crown,30.0,3
paper doll,14.0,1
papermoon,17.666666666666668,1
paradise,8.0,5
paraella,15.0,1
paris&pearle,34.666666666666664,3
parisian works,36.0,3
parker,40.714285714285715,3
pat pat,18.0,1
patagonia,30.454545454545453,3
patra,62.0,4
peaceful people,25.0,3
peach love california,24.0,3
pendleton,72.0,4
peruvian connection,54.2,4
peter nygard,17.0,1
philip lim,25.0,3
philosophy,17.0,1
phoebe couture,8.0,5
piko 1988,16.5,1
pink lily,10.0,5
pink lotus,12.0,1
